MINISTRY,DEPARTMENT,PRIORITY VACANT POSTS,POST NUMBER,SALARY SCALE,ANNUAL SALARY,RECRUITMENT STATUS,,,,,,,,,,Status 
MOCCA,Vanuatu Meteorological Service ,Deputy Director ,6801,DIR 1.1,3968600,Unknown Status,,,,,,,,,,
MOCCA,Vanuatu Meteorological Service ,Communication & Public Relations Officer ,6837,PSS 4.4,1597000,Unknown Status,,,,,,,,,,
MOCCA,Vanuatu Meteorological Service ,Executive Assistant ,6838,PSS 1.9,1002000,Unknown Status,,,,,,,,,,
MOCCA,Vanuatu Meteorological Service ,Senior Climatologist ,6839,PSS 5.1,1989000,Unknown Status,,,,,,,,,,
MOCCA,Vanuatu Meteorological Service ,Weather Forecaster ,6847,PSS 4.6,1727000,Unknown Status,,,,,,,,,,
MOCCA,Vanuatu Meteorological Service ,Climatologists Rain,6854,PSS 4.1,1400000,Unknown Status,,,,,,,,,,
MOCCA,Vanuatu Meteorological Service ,Senior Met Officer Lamap,6864,PSS 4.4,1597000,Unknown Status,,,,,,,,,,
MOCCA,Vanuatu Meteorological Service ,Weather Observer ,6873,PSS 3.4,1273000,Unknown Status,,,,,,,,,,
MOCCA,Vanuatu Meteorological Service ,Weather Observer ,6880,PSS 3.4,1273000,Unknown Status,,,,,,,,,,
MOCCA,Vanuatu Meteorological Service ,Weather Observer ,,PSS 3.4,1273000,Unknown Status,,,,,,,,,,
MOCCA,Vanuatu Meteorological Service ,Rainfall Collector ,,,,Unknown Status,,,,,,,,,,
MOCCA,Geo-Hazards,Finance & Admin,,PSS 4.2,1466000,Unknown Status,,,,,,,,,,
MOCCA,Geo-Hazards,Director ,,DIR 1.1,3968600,Unknown Status,,,,,,,,,,
MOCCA,Corporate Service Unit ,Internal Audit ,7007,PSS 5.5,2250000,Unknown Status,,,,,,,,,,
MOCCA,Climate Change ,Senior Officer Adaptation & DRM ,7022,PSS 4.8,1858000,Unknown Status,,,,,,,,,,
MIPU,PWD HQ,Receptionist/Filing Clerk ,78006130,PS 3.1 ,1001300,Filled,,,,,,,,,,
MIPU,PWD HQ,Senior Admin & HRO ,78006163,PS 6.1  ,1906500,Filled,,,,,,,,,,
MIPU,PWD HQ,Division Engineer (Torba) ,78006187,PS 8.1 ,2693000,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Foreman Sealed Roads ,78006305,PS 5.1 ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Division Engineer ,78006601,PS 8.1 ,2693000,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Principal Engineer ,78006108,PS 8.1 ,2693000,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Principal Surveyor ,78006184,PS 8.1 ,2693000,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Foreman Sealed Roads ,78006305,PS 5.1 ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Principal Project Engineer Civil & Building ,78006113,PS 8.1 ,2693000,Filled,,,,,,,,,,
MIPU,PWD HQ,Architect South ,78006122,PS 7.1 ,2202300,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Draftsman South  ,78006174,PS 6.1 ,1906500,Filled,,,,,,,,,,
MIPU,PWD HQ,Lab Technician North  ,78006792,PS 5.1 ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Laboratory Admin  ,78006181,PS 3.1 ,1001300,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Lab Technician South  ,78006182,PS 5.1 ,1573600,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Snr Store man South ,78006223,PS 4.6 ,1434600,Filled,,,,,,,,,,
MIPU,PWD HQ,Procurement Officer South ,78006710,PS 4.1 ,1195500,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Workshop Admin Officer ,78006171,PS 3.1 ,1001300,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Road Compliance Officers  ,78006135,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD HQ,Provincial Safeguard Officer ,78006146,PS 5.1 ,1513100,Vacant ,,,,,,,,,,
